hltpath,nfill,nrun,ncms,totdelivered(/nb),totrecorded(/nb)
HLT_PFJet140_v4,23,66,29821,4323.278425352,3994.333304268
HLT_PFJet140_v5,48,149,101379,12214.767883805,11670.914519733
HLT_PFJet140_v6,41,92,54513,4840.137805381,4629.818267949
HLT_PFJet140_v8,32,86,47654,4067.526116564,3893.541422528
HLT_PFJet200_v4,23,66,29821,21119.283319244,18070.089528436
HLT_PFJet200_v5,48,149,101379,60174.301225981,57474.337629750
HLT_PFJet200_v6,41,92,54513,16054.855008741,15355.829880912
HLT_PFJet200_v8,32,86,47654,13484.504848842,12897.518798910
HLT_PFJet260_v4,23,66,29821,81729.574920850,75730.338863544
HLT_PFJet260_v5,48,149,101379,287621.996968572,272965.555300276
HLT_PFJet260_v7,41,92,54513,138380.474661216,132030.824632879
HLT_PFJet260_v9,32,86,47654,121503.316709915,112907.250213384
HLT_PFJet320_v4,23,66,29821,260935.607782495,246990.114139488
HLT_PFJet320_v5,48,149,101379,827023.764019020,788100.022635283
HLT_PFJet320_v7,41,92,54513,417023.442662787,398597.661907724
HLT_PFJet320_v9,32,86,47654,356893.210179191,338420.494851340
HLT_PFJet400_v4,23,66,29821,634794.065590718,603404.671908534
HLT_PFJet400_v5,48,149,101379,2526008.357390753,2412074.025127543
HLT_PFJet400_v7,41,92,54513,1235512.144636177,1181643.556593881
HLT_PFJet400_v9,32,86,47654,1042215.291230400,996020.743537418
HLT_PFJet40_v4,23,66,29860,20.628656706,19.391278663
HLT_PFJet40_v5,19,72,38578,45.106163298,42.948982848
HLT_PFJet40_v6,29,77,62801,85.690663573,81.852062135
HLT_PFJet40_v7,41,92,54513,65.925623289,63.033765715
HLT_PFJet40_v9,32,86,47654,63.723850848,59.746625081
HLT_PFJet450_v4,23,66,29821,2925686.067250791,2788072.132743557
HLT_PFJet450_v5,48,149,101379,15790096.020034172,15054596.951821815
HLT_PFJet450_v7,41,92,54513,10199504.957787380,9727260.453515194
HLT_PFJet450_v9,32,86,47654,9125280.076412207,8740119.304099519
HLT_PFJet500_v4,23,66,29821,2925686.067250791,2788072.132743557
HLT_PFJet500_v5,48,149,101379,15790096.020034172,15054596.951821815
HLT_PFJet500_v7,41,92,54513,10199504.957787380,9727260.453515194
HLT_PFJet500_v9,32,86,47654,9125280.076412207,8740119.304099519
HLT_PFJet60_v4,23,66,29821,76.079893981,71.764514167
HLT_PFJet60_v5,19,72,38578,146.047578432,138.652602058
HLT_PFJet60_v6,29,77,62801,234.130099247,223.794580525
HLT_PFJet60_v7,41,92,54513,165.682262279,158.384436631
HLT_PFJet60_v9,32,86,47654,140.631338131,133.492248641
HLT_PFJet80_v4,23,66,29821,809.584185077,754.505117769
HLT_PFJet80_v5,48,149,101379,1197.551035966,1141.759599009
HLT_PFJet80_v6,41,92,54513,478.348205797,457.895694957
HLT_PFJet80_v8,32,86,47654,424.433854344,404.295483171
