hltpath,nfill,nrun,ncms,totdelivered(/nb),totrecorded(/nb)
HLT_PFJet140_v10,13,36,8349,2753.049232929,2559.431710051
HLT_PFJet140_v11,9,21,5908,1177.172218756,1082.202489122
HLT_PFJet140_v12,20,66,22775,4202.856433633,3832.984383712
HLT_PFJet140_v13,27,56,23304,2686.684461732,2596.694438816
HLT_PFJet140_v14,18,47,19043,3239.789341081,2977.518153527
HLT_PFJet140_v15,67,144,90815,14284.199018129,13677.549262860
HLT_PFJet140_v16,6,27,14589,2531.079297552,2419.977961962
HLT_PFJet140_v17,2,13,4469,757.938468862,729.734010962
HLT_PFJet140_v9,13,47,16035,10382.187621307,9991.029877316
HLT_PFJet200_v10,13,36,8349,12955.908701504,12034.094857818
HLT_PFJet200_v11,9,21,5908,4757.076812539,4363.399222757
HLT_PFJet200_v12,20,66,22775,17552.345069532,15989.474225099
HLT_PFJet200_v13,27,56,23304,11377.476934285,10984.537455093
HLT_PFJet200_v14,18,47,19043,11730.483275225,11206.193832059
HLT_PFJet200_v15,67,144,90815,60845.472262444,58201.975377371
HLT_PFJet200_v16,6,27,14589,13908.871288773,13324.593441832
HLT_PFJet200_v17,2,13,4469,4097.410269525,3951.468974324
HLT_PFJet200_v9,13,47,16035,92268.899169062,88776.143145570
HLT_PFJet260_v10,13,47,16035,57983.152680800,55813.844395500
HLT_PFJet260_v11,13,36,8349,33292.686923266,30953.904230624
HLT_PFJet260_v12,9,21,5908,17370.590326839,15948.795675780
HLT_PFJet260_v13,20,66,22775,65416.610555032,59424.774745439
HLT_PFJet260_v14,27,56,23304,60564.404929743,58372.918678045
HLT_PFJet260_v15,18,47,19043,51357.828129523,49435.836073860
HLT_PFJet260_v16,67,144,90815,254906.294161415,235735.039520858
HLT_PFJet260_v17,6,27,14589,38395.393447713,36779.867250705
HLT_PFJet260_v18,2,13,4469,13471.803944696,12591.918043483
HLT_PFJet320_v10,13,47,16035,145455.045451943,140001.799317335
HLT_PFJet320_v11,13,36,8349,84370.087848994,78457.436459593
HLT_PFJet320_v12,9,21,5908,43973.046940282,40385.678717731
HLT_PFJet320_v13,20,66,22775,158906.034515799,144640.469941484
HLT_PFJet320_v14,27,56,23304,154660.373576302,149076.973116987
HLT_PFJet320_v15,18,47,19043,130323.293939999,125974.197143672
HLT_PFJet320_v16,67,144,90815,632514.278261414,597690.801214541
HLT_PFJet320_v17,6,27,14589,103520.103221980,99176.946019324
HLT_PFJet320_v18,2,13,4469,32803.107888434,31242.531216996
HLT_PFJet400_v10,13,47,16035,574964.892630751,553563.640834468
HLT_PFJet400_v11,13,36,8349,321592.504300467,298849.409132077
HLT_PFJet400_v12,9,21,5908,129434.879625928,118747.868696817
HLT_PFJet400_v13,20,66,22775,471374.630415533,429243.906987294
HLT_PFJet400_v14,27,56,23304,474369.905732351,457341.083455103
HLT_PFJet400_v15,18,47,19043,348815.891515971,337719.181506356
HLT_PFJet400_v16,67,144,90815,1724834.175823531,1644308.274524367
HLT_PFJet400_v17,6,27,14589,298453.928585634,285793.896692310
HLT_PFJet400_v18,2,13,4469,90260.928421182,86638.800449363
HLT_PFJet40_v10,2,3,1775,36.118839854,34.888996678
HLT_PFJet40_v11,11,44,14260,53.304612107,51.239033498
HLT_PFJet40_v12,13,36,8349,11.436344561,10.617429459
HLT_PFJet40_v13,9,21,5908,7.915731356,7.165881397
HLT_PFJet40_v14,20,66,22775,27.482999150,24.778789211
HLT_PFJet40_v15,27,56,23304,26.052550275,25.135684194
HLT_PFJet40_v16,18,47,19043,351.292386640,178.033150310
HLT_PFJet40_v17,67,144,90815,136.400524144,129.931276122
HLT_PFJet40_v18,6,27,14589,16.125038466,15.446366212
HLT_PFJet40_v19,2,13,4469,4.928388367,4.721510959
HLT_PFJet450_v10,2,3,1775,246872.270400124,238466.292291123
HLT_PFJet450_v11,11,44,14260,2686873.409315962,2584706.668329648
HLT_PFJet450_v12,13,36,8349,1741204.147098376,1619717.414838771
HLT_PFJet450_v13,9,21,5908,228184.562914615,209012.147076568
HLT_PFJet450_v14,20,66,22775,837475.301952896,761807.091809068
HLT_PFJet450_v15,27,56,23304,794576.942208546,765857.987766464
HLT_PFJet450_v16,18,47,19043,643485.668817580,623500.753048271
HLT_PFJet450_v17,67,144,90815,3100561.840038694,2962644.734363579
HLT_PFJet450_v18,6,27,14589,551725.395749526,528205.229601128
HLT_PFJet450_v19,2,13,4469,166927.492781742,160573.631961723
HLT_PFJet500_v10,2,3,1775,246872.270400124,238466.292291123
HLT_PFJet500_v11,11,44,14260,2803797.063371585,2694566.729779822
HLT_PFJet500_v12,13,36,8349,2007255.669124545,1870333.303704206
HLT_PFJet500_v13,9,21,5908,1383159.993690001,1254273.727397412
HLT_PFJet500_v14,20,66,22775,5399580.876603235,4879405.647143893
HLT_PFJet500_v15,27,56,23304,3555091.917182806,3418891.141194400
HLT_PFJet500_v16,18,47,19043,2958644.644208312,2862249.281107992
HLT_PFJet500_v17,67,144,90815,21631376.818445273,20595794.555150777
HLT_PFJet500_v18,6,27,14589,2953962.282067879,2801640.872154566
HLT_PFJet500_v19,2,13,4469,901025.084805642,862255.849369178
HLT_PFJet550_v1,13,47,16035,3050669.333771709,2933033.022070945
HLT_PFJet550_v2,13,36,8349,2007255.669124545,1870333.303704206
HLT_PFJet550_v3,9,21,5908,1383159.993690001,1254273.727397412
HLT_PFJet550_v4,20,66,22775,5399580.876603235,4879405.647143893
HLT_PFJet550_v5,27,56,23304,3555091.917182806,3418891.141194400
HLT_PFJet550_v6,18,47,19043,2958644.644208312,2862249.281107992
HLT_PFJet550_v7,67,144,90815,21631376.818445273,20595794.555150777
HLT_PFJet550_v8,6,27,14589,2953962.282067879,2801640.872154566
HLT_PFJet550_v9,2,13,4469,901025.084805642,862255.849369178
HLT_PFJet60_v10,2,3,1775,1.371512613,1.324812735
HLT_PFJet60_v11,11,44,14260,15.573455728,14.966750183
HLT_PFJet60_v12,13,36,8349,11.141826403,10.383521699
HLT_PFJet60_v13,9,21,5908,23.911903938,21.688060261
HLT_PFJet60_v14,20,66,22775,93.738851826,84.773931106
HLT_PFJet60_v15,27,56,23304,126.283264535,121.519105693
HLT_PFJet60_v16,18,47,19043,467.276209521,290.546979580
HLT_PFJet60_v17,67,144,90815,541.059995539,521.080228347
HLT_PFJet60_v18,6,27,14589,58.056494262,55.853130710
HLT_PFJet60_v19,2,13,4469,17.275768025,16.716294245
HLT_PFJet80_v10,11,44,14260,113.714155085,109.348195697
HLT_PFJet80_v11,13,36,8349,76.197362917,70.932907465
HLT_PFJet80_v12,9,21,5908,91.193961123,83.596240561
HLT_PFJet80_v13,20,66,22775,321.935851668,292.926818511
HLT_PFJet80_v14,27,56,23304,1903.829034239,1825.108841768
HLT_PFJet80_v15,18,47,19043,592.827286859,411.507482347
HLT_PFJet80_v16,67,144,90815,1321.925267864,1258.029492740
HLT_PFJet80_v17,6,27,14589,199.855319133,191.450954983
HLT_PFJet80_v18,2,13,4469,60.384281351,58.013022967
HLT_PFJet80_v9,2,3,1775,10.286344600,9.936095512
